"Live births: Länder, years, sex",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birth statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live births (number),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Länder
Sex",,1990,,1991,,1992,,1993,,1994,,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,,2024,,2025,
Rheinland-Pfalz,Male,"21,961",e,"21,578",e,"21,605",e,"21,894",e,"20,802",e,"20,323",e,"21,201",e,"21,387",e,"20,244",e,"19,541",e,"19,309",e,"18,515",e,"17,792",e,"17,525",e,"17,349",e,"16,716",e,"16,404",e,"16,801",e,"16,524",e,"15,868",e,"16,189",e,"15,923",e,"16,009",e,"16,371",e,"17,112",e,"17,912",e,"19,374",e,"19,419",e,"19,327",e,"19,020",e,"19,243",e,"19,796",e,"18,824",e,"17,647",e,"17,148",e,"16,647",p
,Female,"20,771",e,"20,733",e,"21,117",e,"20,397",e,"19,737",e,"19,361",e,"19,725",e,"20,290",e,"19,395",e,"18,649",e,"18,517",e,"17,266",e,"16,949",e,"16,558",e,"16,072",e,"15,876",e,"15,351",e,"15,735",e,"15,699",e,"15,013",e,"15,385",e,"15,158",e,"15,160",e,"15,618",e,"16,315",e,"17,034",e,"18,144",e,"18,024",e,"18,320",e,"18,153",e,"18,389",e,"18,851",e,"17,907",e,"16,846",e,"16,458",e,"15,700",p
,Total,"42,732",e,"42,311",e,"42,722",e,"42,291",e,"40,539",e,"39,684",e,"40,926",e,"41,677",e,"39,639",e,"38,190",e,"37,826",e,"35,781",e,"34,741",e,"34,083",e,"33,421",e,"32,592",e,"31,755",e,"32,536",e,"32,223",e,"30,881",e,"31,574",e,"31,081",e,"31,169",e,"31,989",e,"33,427",e,"34,946",e,"37,518",e,"37,443",e,"37,647",e,"37,173",e,"37,632",e,"38,647",e,"36,731",e,"34,493",e,"33,606",e,"32,347",p
Saarland,Male,"5,803",e,"5,759",e,"5,578",e,"5,473",e,"5,134",e,"4,953",e,"5,083",e,"5,086",e,"4,674",e,"4,493",e,"4,522",e,"4,223",e,"4,056",e,"3,906",e,"3,971",e,"3,841",e,"3,807",e,"3,723",e,"3,717",e,"3,527",e,"3,553",e,"3,678",e,"3,509",e,"3,552",e,"3,756",e,"3,957",e,"4,103",e,"4,266",e,"4,228",e,"4,111",e,"4,210",e,"4,227",e,"3,960",e,"3,959",e,"3,912",e,"3,753",p
,Female,"5,407",e,"5,293",e,"5,376",e,"5,180",e,"4,894",e,"4,774",e,"4,893",e,"4,901",e,"4,437",e,"4,448",e,"4,261",e,"3,973",e,"3,823",e,"3,692",e,"3,689",e,"3,643",e,"3,415",e,"3,551",e,"3,441",e,"3,400",e,"3,513",e,"3,410",e,"3,369",e,"3,296",e,"3,572",e,"3,554",e,"4,112",e,"4,047",e,"3,921",e,"3,895",e,"3,945",e,"4,112",e,"3,854",e,"3,810",e,"3,654",e,"3,589",p
,Total,"11,210",e,"11,052",e,"10,954",e,"10,653",e,"10,028",e,"9,727",e,"9,976",e,"9,987",e,"9,111",e,"8,941",e,"8,783",e,"8,196",e,"7,879",e,"7,598",e,"7,660",e,"7,484",e,"7,222",e,"7,274",e,"7,158",e,"6,927",e,"7,066",e,"7,088",e,"6,878",e,"6,848",e,"7,328",e,"7,511",e,"8,215",e,"8,313",e,"8,149",e,"8,006",e,"8,155",e,"8,339",e,"7,814",e,"7,769",e,"7,566",e,"7,341",p
Sachsen,Male,"25,507",e,"16,096",e,"12,968",e,"12,103",e,"11,710",e,"12,288",e,"13,792",e,"14,819",e,"15,467",e,"16,115",e,"17,003",e,"16,488",e,"16,003",e,"16,261",e,"16,920",e,"16,639",e,"16,737",e,"17,424",e,"17,658",e,"17,607",e,"17,920",e,"17,688",e,"17,750",e,"18,043",e,"18,344",e,"18,783",e,"19,417",e,"18,807",e,"18,440",e,"17,660",e,"17,129",e,"16,760",e,"15,022",e,"13,475",e,"12,643",e,"11,820",p
,Female,"24,165",e,"15,182",e,"12,330",e,"11,320",e,"11,024",e,"11,716",e,"13,214",e,"14,189",e,"14,723",e,"15,268",e,"16,136",e,"15,455",e,"15,515",e,"15,818",e,"16,124",e,"15,942",e,"15,819",e,"16,434",e,"16,753",e,"16,486",e,"17,171",e,"16,735",e,"16,936",e,"16,757",e,"17,591",e,"17,683",e,"18,523",e,"18,026",e,"17,450",e,"16,831",e,"16,254",e,"15,788",e,"14,309",e,"12,719",e,"12,054",e,"11,306",p
,Total,"49,672",e,"31,278",e,"25,298",e,"23,423",e,"22,734",e,"24,004",e,"27,006",e,"29,008",e,"30,190",e,"31,383",e,"33,139",e,"31,943",e,"31,518",e,"32,079",e,"33,044",e,"32,581",e,"32,556",e,"33,858",e,"34,411",e,"34,093",e,"35,091",e,"34,423",e,"34,686",e,"34,800",e,"35,935",e,"36,466",e,"37,940",e,"36,833",e,"35,890",e,"34,491",e,"33,383",e,"32,548",e,"29,331",e,"26,194",e,"24,697",e,"23,127",p
Sachsen-Anhalt,Male,"16,486",e,"9,963",e,"8,446",e,"7,503",e,"7,327",e,"7,529",e,"8,326",e,"8,955",e,"8,969",e,"9,426",e,"9,716",e,"9,313",e,"9,113",e,"8,696",e,"9,012",e,"8,674",e,"8,838",e,"8,942",e,"9,079",e,"8,853",e,"8,802",e,"8,658",e,"8,599",e,"8,542",e,"8,816",e,"8,841",e,"9,335",e,"9,183",e,"8,872",e,"8,529",e,"8,280",e,"8,306",e,"7,400",e,"6,913",e,"6,387",e,"6,147",p
,Female,"15,351",e,"9,496",e,"7,838",e,"7,107",e,"6,953",e,"7,039",e,"7,826",e,"8,239",e,"8,544",e,"8,750",e,"9,007",e,"8,760",e,"8,504",e,"8,193",e,"8,325",e,"8,492",e,"8,089",e,"8,445",e,"8,618",e,"8,291",e,"8,498",e,"8,179",e,"8,289",e,"8,255",e,"8,248",e,"8,574",e,"8,757",e,"8,654",e,"8,538",e,"8,089",e,"7,833",e,"7,718",e,"7,106",e,"6,637",e,"6,139",e,"5,831",p
,Total,"31,837",e,"19,459",e,"16,284",e,"14,610",e,"14,280",e,"14,568",e,"16,152",e,"17,194",e,"17,513",e,"18,176",e,"18,723",e,"18,073",e,"17,617",e,"16,889",e,"17,337",e,"17,166",e,"16,927",e,"17,387",e,"17,697",e,"17,144",e,"17,300",e,"16,837",e,"16,888",e,"16,797",e,"17,064",e,"17,415",e,"18,092",e,"17,837",e,"17,410",e,"16,618",e,"16,113",e,"16,024",e,"14,506",e,"13,550",e,"12,526",e,"11,978",p
Schleswig-Holstein,Male,"14,936",e,"14,930",e,"14,712",e,"14,720",e,"14,182",e,"14,035",e,"14,714",e,"15,085",e,"14,232",e,"14,040",e,"13,712",e,"13,082",e,"12,746",e,"12,446",e,"12,416",e,"11,779",e,"11,727",e,"11,895",e,"11,554",e,"11,306",e,"11,502",e,"10,868",e,"11,336",e,"11,170",e,"11,589",e,"12,097",e,"12,957",e,"12,845",e,"12,924",e,"12,663",e,"12,411",e,"13,051",e,"12,299",e,"11,442",e,"11,186",e,"10,740",p
,Female,"14,110",e,"14,005",e,"14,045",e,"13,912",e,"13,360",e,"13,395",e,"14,052",e,"13,995",e,"13,497",e,"13,311",e,"13,208",e,"12,599",e,"12,169",e,"11,769",e,"11,674",e,"11,248",e,"10,959",e,"11,066",e,"11,124",e,"10,617",e,"11,076",e,"10,463",e,"10,669",e,"10,652",e,"11,204",e,"11,452",e,"12,463",e,"12,221",e,"12,312",e,"11,990",e,"11,974",e,"12,247",e,"11,654",e,"10,748",e,"10,574",e,"10,034",p
,Total,"29,046",e,"28,935",e,"28,757",e,"28,632",e,"27,542",e,"27,430",e,"28,766",e,"29,080",e,"27,729",e,"27,351",e,"26,920",e,"25,681",e,"24,915",e,"24,215",e,"24,090",e,"23,027",e,"22,686",e,"22,961",e,"22,678",e,"21,923",e,"22,578",e,"21,331",e,"22,005",e,"21,822",e,"22,793",e,"23,549",e,"25,420",e,"25,066",e,"25,236",e,"24,653",e,"24,385",e,"25,298",e,"23,953",e,"22,190",e,"21,760",e,"20,776",p
Thüringen,Male,"14,696",e,"8,914",e,"7,426",e,"6,797",e,"6,485",e,"7,163",e,"7,756",e,"8,413",e,"8,441",e,"8,777",e,"8,969",e,"8,874",e,"8,698",e,"8,549",e,"8,826",e,"8,568",e,"8,492",e,"8,925",e,"8,881",e,"8,549",e,"8,900",e,"8,718",e,"8,835",e,"8,942",e,"9,169",e,"9,218",e,"9,454",e,"9,254",e,"8,947",e,"8,381",e,"8,227",e,"7,938",e,"7,279",e,"6,620",e,"5,930",e,"5,702",p
,Female,"14,084",e,"8,556",e,"7,189",e,"6,510",e,"6,236",e,"6,625",e,"7,509",e,"8,062",e,"8,166",e,"8,149",e,"8,608",e,"8,477",e,"8,309",e,"8,362",e,"8,484",e,"8,145",e,"7,910",e,"8,251",e,"8,451",e,"8,305",e,"8,627",e,"8,355",e,"8,507",e,"8,484",e,"8,718",e,"8,716",e,"9,021",e,"8,878",e,"8,490",e,"8,266",e,"7,764",e,"7,439",e,"6,852",e,"6,332",e,"5,873",e,"5,351",p
