city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Bergkamen,Bergkamen,51.6167,7.6333,Germany,DE,DEU,North Rhine-Westphalia,,49475,1276603807
Cuxhaven,Cuxhaven,53.8667,8.7,Germany,DE,DEU,Lower Saxony,minor,49443,1276511789
Lahr,Lahr,48.3392,7.8722,Germany,DE,DEU,Baden-Württemberg,,49420,1276321511
Frankenthal,Frankenthal,49.5333,8.35,Germany,DE,DEU,Rhineland-Palatinate,minor,49122,1276888667
Bornheim,Bornheim,50.7592,7.005,Germany,DE,DEU,North Rhine-Westphalia,,49074,1276585020
Stade,Stade,53.6008,9.4764,Germany,DE,DEU,Lower Saxony,minor,48708,1276472720
Alsdorf,Alsdorf,50.8744,6.1615,Germany,DE,DEU,North Rhine-Westphalia,,48518,1276261156
Oranienburg,Oranienburg,52.7544,13.2369,Germany,DE,DEU,Brandenburg,minor,48492,1276677137
Landau,Landau,49.1994,8.1231,Germany,DE,DEU,Rhineland-Palatinate,minor,48341,1276000837
Dachau,Dachau,48.2603,11.4342,Germany,DE,DEU,Bavaria,minor,48337,1276549079
Soest,Soest,51.5711,8.1092,Germany,DE,DEU,North Rhine-Westphalia,minor,48250,1276851034
Hennef,Hennef,50.7833,7.2833,Germany,DE,DEU,North Rhine-Westphalia,,48190,1276962178
Dülmen,Dulmen,51.8308,7.2783,Germany,DE,DEU,North Rhine-Westphalia,,47937,1276703649
Melle,Melle,52.2031,8.3361,Germany,DE,DEU,Lower Saxony,,47387,1276489872
Neunkirchen,Neunkirchen,49.3448,7.1799,Germany,DE,DEU,Saarland,minor,47097,1276274217
Herzogenrath,Herzogenrath,50.8667,6.1,Germany,DE,DEU,North Rhine-Westphalia,,47071,1276873875
Bruchsal,Bruchsal,49.1333,8.6,Germany,DE,DEU,Baden-Württemberg,,47014,1276034362
Hof,Hof,50.3167,11.9167,Germany,DE,DEU,Bavaria,minor,46963,1276561363
Albstadt,Albstadt,48.2119,9.0239,Germany,DE,DEU,Baden-Württemberg,,46831,1276969750
Rodgau,Rodgau,50.0256,8.8841,Germany,DE,DEU,Hesse,,46683,1276173536
Schwerte,Schwerte,51.4458,7.5653,Germany,DE,DEU,North Rhine-Westphalia,,46571,1276720376
Kaufbeuren,Kaufbeuren,47.88,10.6225,Germany,DE,DEU,Bavaria,minor,46386,1276496301
Gotha,Gotha,50.9489,10.7183,Germany,DE,DEU,Thuringia,minor,46300,1276679639
Filderstadt,Filderstadt,48.6667,9.2167,Germany,DE,DEU,Baden-Württemberg,,46295,1276952389
Halle-Neustadt,Halle-Neustadt,51.4789,11.9214,Germany,DE,DEU,Saxony-Anhalt,,46280,1276281757
Fellbach,Fellbach,48.8086,9.2758,Germany,DE,DEU,Baden-Württemberg,,46205,1276083210
Memmingen,Memmingen,47.9878,10.1811,Germany,DE,DEU,Bavaria,minor,46178,1276229376
Bünde,Bunde,52.2,8.6,Germany,DE,DEU,North Rhine-Westphalia,,45891,1276719683
Brühl,Bruhl,50.8333,6.9,Germany,DE,DEU,North Rhine-Westphalia,,45515,1276307796
Weinheim,Weinheim,49.5561,8.6697,Germany,DE,DEU,Baden-Württemberg,,45381,1276001742
Neustadt am Rübenberge,Neustadt am Rubenberge,52.5055,9.4636,Germany,DE,DEU,Lower Saxony,,45325,1276887904
Lehrte,Lehrte,52.3725,9.9769,Germany,DE,DEU,Lower Saxony,,45097,1276716840
Falkensee,Falkensee,52.5583,13.0917,Germany,DE,DEU,Brandenburg,,45005,1276126886
Pinneberg,Pinneberg,53.6591,9.8009,Germany,DE,DEU,Schleswig-Holstein,minor,44756,1276865707
Erkelenz,Erkelenz,51.08,6.3156,Germany,DE,DEU,North Rhine-Westphalia,,44572,1276067473
